year;elo_band;time_bin;game_stage;avg_accuracy;n_moves
2018;beginner;3;beginning;9,12611E+14;11977735
2018;beginner;3;end;9,26249E+14;9761399
2018;beginner;3;middle;9,1279E+15;12724156
2018;beginner;4;beginning;9,08568E+15;8298902
2018;beginner;4;end;9,23633E+15;6608686
2018;beginner;4;middle;9,0925E+13;9079066
2018;beginner;5;beginning;9,06269E+15;6332960
2018;beginner;5;end;9,21614E+15;4880804
2018;beginner;5;middle;9,07018E+15;7018055
2018;beginner;6;beginning;9,03466E+15;5054256
2018;beginner;6;end;9,19375E+15;3821178
2018;beginner;6;middle;9,0489E+15;5747895
2018;beginner;7;beginning;9,01359E+15;4154500
2018;beginner;7;end;9,17401E+15;3059760
2018;beginner;7;middle;9,02632E+15;4810082
2018;beginner;8;beginning;8,98665E+15;3468914
2018;beginner;8;end;9,15247E+15;2507911
2018;beginner;8;middle;9,00877E+15;4119724
2018;beginner;9;beginning;8,968E+15;2935703
2018;beginner;9;end;9,13518E+14;2072265
2018;beginner;9;middle;8,98834E+15;3533004
2018;beginner;10;beginning;8,9476E+15;2506260
2018;beginner;10;end;9,11211E+15;1741180
2018;beginner;10;middle;8,97207E+15;3072899
2018;beginner;11;beginning;8,93098E+14;2152281
2018;beginner;11;end;9,09936E+14;1468372
2018;beginner;11;middle;8,95624E+15;2674895
2018;beginner;12;beginning;8,91227E+15;1867522
2018;beginner;12;end;9,0829E+15;1258248
2018;beginner;12;middle;8,93996E+15;2352752
2018;beginner;13;beginning;8,90303E+15;1626544
2018;beginner;13;end;9,07219E+15;1079534
2018;beginner;13;middle;8,92759E+15;2069611
2018;beginner;14;beginning;8,88831E+15;1429369
2018;beginner;14;end;9,05645E+14;936608
2018;beginner;14;middle;8,91285E+14;1839893
2018;beginner;15;beginning;8,87309E+15;1257716
2018;beginner;15;end;9,04562E+15;815848
